x,y
-15,-14
-14.824,-13.824
-14.648,-13.648
-14.472,-13.472
-14.296,-13.296
-14.121,-13.121
-13.945,-12.945
-13.769,-12.769
-13.593,-12.593
-13.417,-12.417
-13.241,-12.241
-13.065,-12.065
-12.889,-11.889
-12.714,-11.714
-12.538,-11.538
-12.362,-11.362
-12.186,-11.186
-12.01,-11.01
-11.834,-10.834
-11.658,-10.658
-11.482,-10.482
-11.307,-10.307
-11.131,-10.131
-10.955,-9.955
-10.779,-9.779
-10.603,-9.603
-10.427,-9.427
-10.251,-9.251
-10.075,-9.075
-9.899,-8.899
-9.724,-8.724
-9.548,-8.548
-9.372,-8.372
-9.196,-8.196
-9.02,-8.02
-8.844,-7.844
-8.668,-7.668
-8.492,-7.492
-8.317,-7.317
-8.141,-7.141
-7.965,-6.965
-7.789,-6.789
-7.613,-6.613
-7.437,-6.437
-7.261,-6.261
-7.085,-6.085
-6.91,-5.91
-6.734,-5.734
-6.558,-5.558
-6.382,-5.382
-6.206,-5.206
-6.03,-5.03
-5.854,-4.854
-5.678,-4.678
-5.503,-4.503
-5.327,-4.327
-5.151,-4.151
-4.975,-3.975
-4.799,-3.799
-4.623,-3.623
-4.447,-3.447
-4.271,-3.271
-4.095,-3.095
-3.92,-2.92
-3.744,-2.744
-3.568,-2.568
-3.392,-2.392
-3.216,-2.216
-3.04,-2.04
-2.864,-1.864
-2.688,-1.688
-2.513,-1.513
-2.337,-1.337
-2.161,-1.161
-1.985,-0.985
-1.809,-0.809
-1.633,-0.633
-1.457,-0.457
-1.281,-0.281
-1.106,-0.106
-0.93,0.07
-0.754,0.246
-0.578,0.422
-0.402,0.598
-0.226,0.774
-0.05,0.95
0.126,1.126
0.302,1.302
0.477,1.477
0.653,1.653
0.829,1.829
1.005,2.005
1.181,2.181
1.357,2.357
1.533,2.533
1.709,2.709
1.884,2.884
2.06,3.06
2.236,3.236
2.412,3.412
2.588,3.588
2.764,3.764
2.94,3.94
3.116,4.116
3.291,4.291
3.467,4.467
3.643,4.643
3.819,4.819
3.995,4.995
4.171,5.171
4.347,5.347
4.523,5.523
4.698,5.698
4.874,5.874
5.05,6.05
5.226,6.226
5.402,6.402
5.578,6.578
5.754,6.754
5.93,6.93
6.106,7.106
6.281,7.281
6.457,7.457
6.633,7.633
6.809,7.809
6.985,7.985
7.161,8.161
7.337,8.337
7.513,8.513
7.688,8.688
7.864,8.864
8.04,9.04
8.216,9.216
8.392,9.392
8.568,9.568
8.744,9.744
8.92,9.92
9.095,10.095
9.271,10.271
9.447,10.447
9.623,10.623
9.799,10.799
9.975,10.975
10.151,11.151
10.327,11.327
10.503,11.503
10.678,11.678
10.854,11.854
11.03,12.03
11.206,12.206
11.382,12.382
11.558,12.558
11.734,12.734
11.91,12.91
12.085,13.085
12.261,13.261
12.437,13.437
12.613,13.613
12.789,13.789
12.965,13.965
13.141,14.141
13.317,14.317
13.492,14.492
13.668,14.668
13.844,14.844
14.02,15.02
14.196,15.196
14.372,15.372
14.548,15.548
14.724,15.724
14.899,15.899
15.075,16.075
15.251,16.251
15.427,16.427
15.603,16.603
15.779,16.779
15.955,16.955
16.131,17.131
16.307,17.307
16.482,17.482
16.658,17.658
16.834,17.834
17.01,18.01
17.186,18.186
17.362,18.362
17.538,18.538
17.714,18.714
17.889,18.889
18.065,19.065
18.241,19.241
18.417,19.417
18.593,19.593
18.769,19.769
18.945,19.945
19.121,20.121
19.296,20.296
19.472,20.472
19.648,20.648
19.824,20.824
20,21
,
,
